PublicationDate,DataSource,Country,Country_code,emissions,Format_name,Notation,Parent_sector_code,Pollutant_name,Sector_code,Sector_name,Unit,Year
20183105,EEA,Switzerland,CH,34.01114,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2000
20183105,EEA,Cyprus,CY,0.56778,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2016
20183105,EEA,Cyprus,CY,1.72375,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2000
20183105,EEA,Switzerland,CH,141.89381,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2016
20183105,EEA,Switzerland,CH,14206.79314,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,1990
20183105,EEA,Switzerland,CH,15569.93867,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2000
20183105,EEA,Switzerland,CH,19.20313,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2016
20183105,EEA,Estonia,EE,1.77926,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2010
20183105,EEA,Estonia,EE,22.01648,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,1990
20183105,EEA,Cyprus,CY,26.26664,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,1990
20183105,EEA,Cyprus,CY,2313.45861,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2010
20183105,EEA,Cyprus,CY,2.33008,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2016
20183105,EEA,Cyprus,CY,1792.31976,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2000
20183105,EEA,Cyprus,CY,2019.27555,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2016
20183105,EEA,Cyprus,CY,0,IPCC Common Reporting Format,�,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,1990
20183105,EEA,Cyprus,CY,3.06738,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2010
20183105,EEA,Czech Republic,CZ,6350.76664,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,1990
20183105,EEA,Spain,ES,423.25602,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,1990
20183105,EEA,Cyprus,CY,17.89695,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2000
20183105,EEA,Cyprus,CY,0,IPCC Common Reporting Format,�,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2016
20183105,EEA,Cyprus,CY,0,IPCC Common Reporting Format,�,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2016
20183105,EEA,Czech Republic,CZ,367.29463,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2000
20183105,EEA,Czech Republic,CZ,140.65089,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,1990
